100
3 3
1 4 37415
2 6 49252
4 8 44529
1 8 99958
5 7 43320
8 10 27828
1 2 66810
3 7 62179
7 10 31210
1 5 98194
2 9 686
2 10 37616
3 5 95552
1 10 29432
1 7 84163
4 7 55847
3 8 25151
3 10 49330
4 10 51282
3 6 93601
9 10 51842
7 8 27288
3 4 94841
2 3 83528
1 9 21221
2 4 74668
5 8 18778
7 9 93917
6 7 13506
6 8 27702
1 6 21115
2 8 99589
5 10 8810
4 6 3103
5 9 48099
2 5 52189
10 29
5 10 78158
3 5 41615
3 7 99884
4 6 47920
3 8 66113
4 10 46027
6 7 84884
7 9 86282
8 10 55129
8 9 10582
1 4 45603
2 5 98499
5 9 62180
2 8 4391
5 6 1994
9 10 85030
2 9 87344
2 3 20175
1 6 48711
2 6 1519
4 9 43755
1 5 84762
4 7 21978
2 7 46134
4 5 63208
2 4 52122
2 10 17256
1 8 92466
3 10 41065
10 28
3 5 78667
1 8 58762
4 6 43180
4 10 15184
5 8 92712
7 10 61227
4 9 58296
2 3 25597
2 5 87002
1 4 2198
4 5 65446
6 7 20810
5 10 65030
6 10 41860
6 8 44010
5 6 35919
1 3 57055
9 10 6043
5 9 65578
2 9 43056
4 8 12237
1 5 13607
7 9 9393
8 10 91891
1 6 73102
5 7 72460
3 4 62171
2 6 28884
10 17
1 10 94920
3 6 91552
2 9 83367
6 8 89014
4 9 48488
9 10 16878
2 6 95723
1 2 19856
2 5 42069
6 9 99704
1 5 18318
5 9 46922
2 3 99567
1 9 23146
5 7 62866
1 7 10298
7 10 13372
10 22
3 9 45246
8 10 34461
3 4 40298
4 7 17302
6 9 13530
1 7 54346
6 10 23051
7 8 36583
5 10 58252
3 10 78298
4 8 16814
1 4 23963
5 7 47062
4 6 71949
2 8 50269
4 5 66043
9 10 41572
1 8 33521
3 7 51221
6 8 99341
5 8 20313
1 2 29622
10 20
1 3 77269
4 5 91288
6 9 53926
3 5 46969
6 8 40059
8 10 34926
7 9 19135
1 7 94858
1 5 63833
6 10 16054
4 6 69062
5 8 73199
2 10 93452
6 7 90458
7 10 16849
3 7 8300
8 9 64262
3 8 81066
4 10 23734
5 9 52233
10 44
6 7 47386
6 10 45109
8 10 80629
2 3 24904
8 9 64347
4 7 64004
9 10 11684
3 8 79997
1 3 67311
3 6 89741
2 4 40074
7 9 38208
3 10 83904
5 9 47991
4 5 62007
1 7 6249
4 10 22325
2 6 22527
3 4 11216
5 7 26162
6 9 19630
4 6 44712
7 10 2032
1 6 91084
2 10 32487
5 6 82895
2 7 92349
6 8 94374
1 5 56929
4 8 27033
1 9 88231
1 8 84246
7 8 27770
5 8 46073
1 10 6511
3 5 72819
2 9 13314
1 2 11090
2 8 56158
4 9 23621
5 10 95160
1 4 8588
3 9 91730
2 5 86039
10 22
1 7 66385
5 10 4604
1 8 16573
4 5 77204
3 8 58446
6 9 74173
4 7 75997
1 6 8394
3 10 31699
3 4 60696
4 6 16333
1 4 12191
2 6 66202
6 10 60493
7 8 13855
2 10 26323
1 3 76002
1 5 70869
3 7 52657
7 9 33760
3 5 20216
1 9 55623
10 44
2 10 95711
1 8 93534
5 10 9736
3 8 89460
6 8 61144
2 6 25553
9 10 90786
3 7 74145
8 9 96239
5 8 53378
4 8 60870
2 9 33643
1 10 22036
1 6 10964
1 4 53770
1 9 57547
2 4 38628
6 7 44211
1 3 91530
8 10 97364
3 9 84122
5 6 45556
2 3 12037
4 5 46677
3 4 58325
7 8 73935
4 7 35536
4 9 14822
4 6 74575
2 8 95884
5 9 66759
1 7 99095
2 5 18823
7 9 12000
6 9 57297
7 10 66472
3 5 67019
6 10 85345
3 10 98732
1 5 98565
2 7 50766
4 10 97671
5 7 35567
1 2 18160
10 16
9 10 59883
4 7 92489
1 10 20481
8 10 72129
3 10 92464
2 3 38298
8 9 47692
2 6 34537
5 6 11585
5 9 98373
3 8 83992
6 10 46277
4 6 71308
1 7 17951
1 5 37542
2 10 49538
10 32
4 5 92277
8 10 91235
3 9 59929
2 6 33632
4 10 49845
3 10 69256
2 7 87504
1 5 53509
4 8 6320
6 9 79740
7 10 78032
3 5 64282
3 6 40481
2 10 54991
3 4 92278
1 6 34589
3 7 46618
6 7 57535
6 8 49865
2 3 96975
1 2 3902
5 10 11500
2 9 65984
5 9 48167
1 8 78806
1 3 675
4 9 75486
5 6 44785
2 5 68220
9 10 48948
5 8 82450
7 9 17292
10 33
1 10 77775
3 5 77240
5 6 71507
4 9 51096
2 3 76295
8 9 27856
5 8 55094
2 8 58789
1 7 5308
3 9 38865
4 8 44268
7 10 4276
3 7 16487
2 7 15251
1 6 42433
3 10 29184
3 6 77317
5 9 88354
6 10 12272
2 5 6342
4 7 15959
1 3 20061
6 9 43670
5 7 80380
3 8 22673
3 4 96143
4 5 20541
4 6 16449
1 5 41839
1 8 78169
2 4 98172
1 2 49201
2 9 1011
10 28
3 8 42005
1 8 85887
3 4 74961
5 10 87719
1 2 48812
6 8 9895
3 10 33911
2 9 6364
7 8 34928
6 7 44539
6 9 65539
2 4 97065
1 7 78966
5 7 2883
2 5 79110
2 6 92119
3 6 3834
3 9 59338
1 5 12127
3 7 99948
8 9 68366
4 10 44679
2 8 64004
4 8 69473
2 10 84485
7 10 59717
1 6 59398
2 7 47347
10 31
3 4 30138
1 8 5615
1 3 14471
4 6 97353
1 2 26456
6 9 92426
5 10 95523
2 10 14680
5 9 25787
3 8 87921
2 3 37642
2 4 9333
3 7 71651
4 7 3041
8 9 37231
1 4 2996
1 6 2875
1 5 50161
2 8 98354
2 9 41251
7 10 75668
4 10 83299
1 7 45204
4 9 14632
6 7 58620
6 10 82877
1 9 36228
7 9 58566
6 8 90854
2 6 74759
5 7 44043
10 45
3 10 10891
8 10 84348
8 9 22805
6 9 81388
5 7 53787
3 5 88669
7 8 37495
5 9 1547
4 9 73634
3 7 42871
3 9 26920
6 8 2121
5 6 43762
1 10 78549
1 7 41591
4 8 26839
3 4 34495
1 3 66180
2 9 80833
3 6 70929
2 6 30121
2 4 35005
2 10 13706
2 7 84647
1 5 91765
2 5 22932
1 9 4258
4 6 80913
1 6 45683
2 8 24918
1 8 49020
5 8 37363
4 10 34992
5 10 97989
9 10 95990
6 10 70151
6 7 13018
7 10 84818
1 2 31718
4 7 99628
1 4 51255
4 5 30937
7 9 52418
3 8 23718
2 3 3588
10 39
1 7 93543
3 8 17283
1 4 83668
2 6 30147
3 6 83349
4 6 40932
5 6 26468
8 10 46505
4 10 47273
2 8 2364
7 10 41175
5 9 11677
2 3 403
1 10 97056
9 10 98915
1 6 11888
5 10 70487
2 9 31960
2 5 62402
5 8 52380
7 9 32506
5 7 5182
6 8 64605
1 5 51250
4 7 47496
2 4 28220
1 3 22136
4 8 77587
2 7 94494
6 7 28043
8 9 30126
7 8 17051
1 8 46659
3 10 59010
3 4 94371
3 5 92720
4 5 48749
6 9 4089
1 9 25789
10 30
1 4 24693
5 7 5328
1 8 85567
2 6 2358
3 10 88025
2 3 17651
6 7 81168
6 10 6447
4 5 48623
5 8 87005
2 7 69621
2 9 63551
6 9 98852
2 5 7675
7 8 84112
5 6 33378
7 9 61292
1 7 24528
4 8 99985
4 10 41370
4 6 4233
4 9 59145
3 5 5117
2 10 32383
6 8 32199
3 6 21374
1 10 64942
9 10 63932
3 9 45287
5 9 64885
10 40
4 9 73871
5 6 64907
2 10 30417
5 7 98487
6 9 42064
1 9 66533
6 8 42414
2 5 42007
3 6 25838
1 7 33895
5 9 23920
2 8 92204
1 5 1943
1 4 58822
1 8 53375
4 5 60981
3 8 3716
5 8 5009
6 7 23266
3 5 15692
7 9 51471
7 8 41762
4 7 19866
2 4 46064
9 10 35446
4 8 18199
4 10 990
3 7 22237
6 10 26485
2 9 88237
8 10 31709
8 9 96314
2 6 93319
7 10 90797
5 10 27766
2 7 57160
1 10 46278
4 6 53777
1 2 65053
2 3 2164
10 27
3 9 28870
2 8 39204
3 5 42860
8 10 32714
3 6 73676
5 7 65805
6 9 35859
6 8 82602
2 7 60622
4 9 93141
1 7 35585
1 3 89340
3 10 249
7 9 70940
2 10 58422
6 7 42859
3 8 78788
8 9 11508
6 10 53290
3 7 73690
1 4 90243
2 9 53404
4 10 63268
2 6 4846
2 4 58723
4 7 17848
2 3 9036
10 19
1 10 88406
5 9 45250
1 4 65395
2 6 19701
6 9 60077
8 10 77039
3 7 33744
1 9 38050
9 10 61315
3 5 89765
4 9 76277
5 6 69378
7 8 94424
4 6 72723
8 9 82341
2 9 28986
4 10 48585
2 4 26641
2 7 31430
10 12
2 4 42493
3 4 87181
5 6 20532
4 7 18326
2 9 177
2 6 8652
6 7 48142
3 6 83945
4 8 59723
1 3 50831
1 4 42986
7 10 85359
10 20
3 5 12991
3 9 35439
4 7 3715
3 6 65241
6 8 52141
2 10 20339
2 4 99252
8 10 69249
1 10 57422
4 9 75968
3 8 43430
1 9 26490
1 8 33364
1 5 14344
2 3 74673
7 10 24104
3 10 93571
3 4 35320
1 7 26555
2 8 22518
10 37
2 3 3111
5 7 64377
1 2 75459
7 10 2172
6 10 82406
3 5 34392
1 10 56172
7 8 72107
2 7 46250
4 10 93269
9 10 93296
5 9 96077
2 5 88947
1 8 23525
8 9 42984
7 9 32638
2 9 63457
2 4 46667
2 10 12249
1 7 15439
1 3 42504
1 6 452
5 10 49534
8 10 15838
6 9 21654
3 8 27590
3 7 3591
3 6 94600
2 6 87749
1 4 83895
3 4 8516
1 9 21574
6 8 39834
4 9 81012
4 7 16885
3 9 62024
4 5 66529
10 20
5 6 28041
2 8 89585
2 6 7218
6 7 40431
1 8 96192
4 8 14463
7 9 20730
3 10 54052
7 8 25893
3 7 94820
5 10 86021
4 7 43163
4 6 18020
6 10 43247
3 4 5451
3 9 36163
5 9 43421
1 5 29969
5 7 35086
1 9 75971
10 12
4 8 70564
6 7 54045
2 9 42253
2 10 20510
4 9 81977
3 5 12882
7 8 20794
1 2 40689
1 6 17897
2 4 99967
5 6 61558
7 10 97475
10 31
6 9 34474
4 6 17515
1 5 3881
8 9 97405
4 9 5331
1 8 53467
2 7 67863
2 6 22064
3 9 531
3 6 17076
6 7 99926
4 7 64270
3 5 90237
6 8 67037
3 4 7474
1 2 1462
1 3 18313
2 4 28376
7 8 84973
5 6 83481
5 10 54334
2 10 54966
3 10 87401
7 10 86787
8 10 60177
1 6 90068
5 8 87342
5 9 67019
4 10 51687
2 9 80352
2 8 74447
10 22
5 6 85560
2 8 56903
4 9 8615
2 10 15269
5 8 76892
7 9 77682
3 6 38188
3 4 71250
7 8 75828
1 8 46084
2 5 79476
4 8 36069
3 5 47458
3 9 93905
1 10 9753
1 2 88074
4 6 72769
4 5 68076
5 10 80403
2 6 96940
6 9 42090
3 7 53159
10 21
5 7 10178
2 8 93230
5 10 47370
1 3 85197
3 7 61525
2 3 51228
3 10 10968
8 9 28957
7 10 7946
5 6 28488
6 10 62642
3 5 17860
2 6 47609
3 4 40187
9 10 77048
1 2 22798
1 4 10579
4 10 35551
6 8 87316
3 9 8768
6 9 24700
10 42
4 9 91853
2 3 19642
1 5 99050
3 5 74688
2 5 67329
7 10 47373
1 4 47470
2 6 95028
1 8 36874
4 5 15593
8 9 52121
2 9 40780
1 9 15832
7 8 99973
1 6 48255
5 8 11005
1 7 61976
9 10 64919
5 9 90651
1 2 73447
4 10 150
4 6 22726
3 10 25682
5 6 385
4 7 19552
6 7 47930
2 7 24583
3 6 38432
6 8 62146
7 9 5102
2 4 77957
1 3 18403
6 9 41749
3 4 72931
2 8 80390
8 10 38358
6 10 19507
5 7 48429
4 8 57414
2 10 19117
1 10 20348
5 10 48203
10 22
7 8 26279
2 8 46844
4 5 6465
7 10 64743
2 7 97621
1 2 1260
3 5 26434
4 10 43271
6 10 64500
7 9 49184
5 6 96537
5 9 78483
6 9 96335
2 6 16143
2 5 56705
1 4 53000
3 4 91641
1 3 90230
3 9 43645
8 10 48676
3 6 95221
4 8 26132
10 37
3 8 71390
6 10 52139
2 6 74788
1 7 61429
5 9 32839
1 9 12927
2 9 7585
1 10 10324
8 10 95138
3 6 77583
3 4 70395
2 4 66241
5 6 10790
2 3 9214
4 8 57236
6 8 12315
6 9 77092
2 10 65622
4 7 76273
5 8 1327
9 10 96650
3 7 87714
6 7 46325
1 8 29516
1 4 61016
4 5 98942
2 8 60763
1 5 33069
1 6 95577
3 5 40424
5 10 99291
4 6 33730
3 10 35534
8 9 61045
7 10 28640
2 5 65025
3 9 29341
10 19
6 8 66703
7 10 59525
3 7 43030
1 6 55050
5 7 91010
1 2 68417
2 4 88285
6 9 60629
1 5 97267
8 9 95763
3 6 90888
1 7 58262
1 4 40265
2 5 27824
7 8 77018
4 6 17706
4 5 72968
5 9 12197
1 9 6728
10 39
1 5 12600
1 9 6846
4 8 51145
1 8 78395
7 10 61242
1 7 10287
6 10 1762
2 10 77545
5 8 83074
9 10 27635
2 9 6369
1 6 95050
2 8 65931
1 10 85495
1 2 99816
2 5 26116
4 10 68907
4 5 41766
8 10 62489
6 8 33678
4 9 13858
3 6 43567
3 10 25089
5 7 22648
8 9 91238
3 8 72214
7 9 46282
6 9 96218
2 3 57662
6 7 74346
4 6 47748
1 3 93191
5 9 21541
1 4 53893
2 4 66695
5 10 52428
4 7 54973
3 5 76843
2 6 97307
10 36
3 9 40479
1 2 87668
1 10 93724
2 6 26107
2 7 10742
5 6 91562
6 9 62988
4 5 65363
1 5 70063
3 7 53467
4 10 30060
6 8 60007
7 10 8165
4 7 20804
4 9 17479
1 4 62655
6 10 37768
1 9 77643
1 8 35016
2 9 83615
3 8 37561
1 7 85627
6 7 5242
4 6 51215
2 3 32719
9 10 34125
2 10 92163
2 4 39532
7 8 14454
5 7 27049
3 10 21643
8 9 96955
3 6 23653
1 6 27256
3 4 87911
4 8 59773
10 13
4 8 20531
6 7 64096
1 9 44570
6 8 75075
2 5 6259
2 7 64055
1 2 92053
4 5 8704
7 9 40514
5 9 83575
6 10 27546
3 9 18695
7 8 85997
10 17
1 9 65505
6 9 932
7 8 873
2 3 74520
3 7 4078
3 4 58127
6 10 66768
4 9 43802
4 7 96036
1 10 69498
1 3 8351
1 8 46812
6 7 65452
2 4 87915
5 9 92838
1 7 11557
4 5 67669
10 40
1 2 22126
5 7 15332
4 9 43176
4 7 91423
3 4 5080
5 9 73019
2 4 57232
1 5 72948
6 7 97871
3 5 48441
6 8 3981
1 8 61897
8 10 9936
1 7 93037
9 10 59967
4 5 78566
7 8 57454
6 9 91190
3 8 93270
4 10 31251
1 3 12858
1 9 43238
1 10 62030
1 6 6047
4 6 71958
3 9 23795
3 6 85221
3 10 15956
2 8 76770
5 8 71306
2 5 62469
7 10 52233
2 6 29519
2 3 56623
1 4 67398
2 9 67018
2 10 44603
2 7 31869
5 10 71655
5 6 86466
10 32
2 7 70534
1 5 28429
3 8 45042
3 6 72605
2 3 30827
2 5 83707
1 10 24668
2 9 98277
5 9 4822
1 8 29590
6 10 30263
5 7 65861
9 10 83648
6 7 76761
4 6 14217
3 7 31123
4 9 48691
6 9 68787
7 9 62875
2 4 36270
8 9 80641
7 8 3205
1 4 67992
1 3 59892
5 10 51214
1 2 6144
2 8 4941
1 9 7259
7 10 39607
4 5 99054
3 5 19442
3 4 13483
10 41
3 5 70389
2 10 67917
3 10 1805
1 2 11802
3 6 43707
5 7 62947
3 7 21555
7 8 4020
1 4 57415
1 8 45412
1 6 27576
8 9 14814
1 9 36649
4 6 81356
1 3 37133
7 9 76793
5 9 7038
6 9 68174
4 7 77741
2 9 62887
2 7 62193
8 10 40758
2 8 44147
5 10 77250
4 9 26773
2 5 32573
3 4 69518
3 8 75636
2 3 36691
1 10 98183
1 7 89479
3 9 12629
6 7 72799
5 8 14232
6 10 11278
2 4 61475
4 8 42698
5 6 56376
4 5 97643
7 10 72453
2 6 29962
10 24
7 9 44398
4 5 87724
5 6 54691
1 6 18384
3 5 60678
5 10 61842
9 10 57526
6 7 89359
3 10 33421
6 8 38593
4 9 44885
2 10 40958
2 4 30334
2 3 56391
1 8 30405
1 4 24474
7 10 10670
6 9 94704
2 5 96313
4 8 31853
2 7 81179
1 2 2834
3 4 8645
2 8 40249
10 21
1 2 56044
1 7 6267
4 10 15357
4 8 4340
2 3 47063
2 7 88959
2 4 21846
4 5 98891
8 9 52411
2 10 0
5 9 73443
3 8 31504
4 6 91119
2 9 76911
3 5 28140
2 5 63227
2 8 64295
3 6 43982
1 6 28081
1 5 87121
6 7 10652
10 11
1 10 0
3 4 78496
7 9 40240
6 9 80325
1 9 38574
2 5 52030
1 6 16728
6 10 60287
8 10 156
1 5 4474
2 10 43644
10 42
2 3 0
2 9 43024
3 5 63576
1 9 9067
4 8 39697
7 10 9793
2 4 11663
6 10 60874
4 7 29914
6 9 260
3 4 79222
1 3 97587
1 4 83368
2 5 89213
1 2 42991
6 7 32483
2 8 32626
5 10 28064
3 6 62575
1 5 55236
3 10 5434
4 10 54241
2 7 44730
1 8 53383
1 10 70469
5 8 43338
3 8 41560
5 6 30893
7 8 14168
3 9 2558
2 10 22876
4 5 14708
1 7 5258
8 9 92701
8 10 22134
4 6 34374
7 9 17003
1 6 57554
6 8 43562
2 6 91148
5 7 50340
3 7 60253
10 29
7 9 81028
8 9 0
3 8 65301
1 7 57465
3 4 99202
2 4 21852
8 10 96050
1 6 52264
6 9 74263
4 8 22514
9 10 14501
3 5 2747
5 9 7313
4 5 5353
6 10 52054
1 3 52436
6 7 31573
5 7 55885
1 10 15221
2 7 64818
1 5 90953
1 9 69207
3 10 91795
2 10 44348
7 10 88191
2 9 5319
2 5 28564
2 8 25551
5 6 18776
10 30
3 5 91542
4 5 18467
6 10 64521
2 5 88143
7 9 86197
2 3 13998
7 8 84126
5 10 19533
2 7 6659
3 6 41541
1 8 95520
2 8 6876
1 9 56183
4 9 38591
6 9 59969
1 6 84010
1 10 43404
4 8 96852
5 9 45292
8 9 40246
2 4 51049
2 10 0
4 6 8939
1 3 87945
8 10 12370
5 6 91448
1 4 31733
7 10 27977
6 7 14824
9 10 59115
10 22
5 8 88810
1 7 45530
4 8 19880
2 7 56979
9 10 60792
5 7 53812
1 4 25503
4 5 76156
1 9 69323
6 8 50819
2 6 12416
4 10 12976
3 8 9475
2 9 15210
1 3 51643
1 2 92546
6 10 83714
3 4 0
7 8 27797
3 5 57358
5 6 6632
3 6 78635
10 24
4 7 64592
3 6 92476
6 10 90486
1 8 11088
8 9 12937
5 7 0
4 8 16106
3 8 35936
2 4 73278
3 4 88048
2 8 65681
1 9 80468
4 10 56725
3 10 97570
5 9 99273
7 9 41718
3 7 42403
1 7 61871
6 9 53224
3 5 67837
5 10 38796
7 8 68283
6 7 10013
2 6 75604
10 23
4 9 8221
3 8 24655
6 9 67536
5 6 70205
8 10 64786
2 7 1436
3 10 70753
4 5 40323
4 10 84416
1 7 92913
1 9 73849
7 10 9823
5 7 29081
2 10 76452
8 9 20101
2 5 0
7 8 9018
3 7 18893
6 7 47614
1 2 56644
2 9 10998
1 5 79481
1 4 19014
10 35
3 8 50446
1 2 16088
3 7 48669
1 3 88407
1 9 47593
6 9 8608
2 10 80766
7 10 42281
2 8 94189
3 6 51571
5 8 54290
1 6 40907
5 9 8325
8 9 21041
4 10 41345
2 9 86942
3 10 26581
9 10 98609
2 6 67741
3 4 50176
1 8 98990
7 8 0
1 4 63134
5 10 41002
4 6 86632
5 6 98626
4 5 86556
1 5 90410
5 7 76985
8 10 21685
1 7 7283
2 3 98033
3 5 69783
7 9 71886
3 9 26766
10 12
1 9 25603
2 9 0
2 10 10911
3 9 65552
5 7 31747
1 8 14119
4 5 96095
1 6 47280
4 9 14990
4 10 74932
1 5 9638
2 7 41726
10 26
5 9 54928
1 10 19673
1 7 0
5 8 72494
5 6 34668
7 8 85294
8 10 32595
2 5 84022
4 6 60114
3 9 23578
5 7 21425
3 4 81754
4 9 94392
1 9 37270
4 7 75089
6 7 27663
3 6 54438
2 6 17733
4 5 46562
9 10 60800
2 3 62846
6 10 31303
4 10 44110
1 2 80080
1 6 13468
1 3 36972
10 21
3 6 10290
3 5 75830
5 7 46342
1 2 94690
1 4 56382
6 8 0
1 7 26772
6 9 72802
2 9 45770
7 8 97761
3 4 65274
1 3 78666
2 7 33280
5 8 19615
9 10 27000
8 10 44317
6 7 95979
1 9 39926
5 6 49496
8 9 97409
2 5 10709
10 36
3 8 62659
1 7 77394
2 7 0
6 7 48991
5 7 74274
1 2 62622
8 10 71662
4 5 70239
2 10 3553
2 4 38150
3 7 31294
6 8 22081
5 10 15119
5 9 705
4 10 65558
1 6 44693
5 8 12545
5 6 34610
7 8 81271
1 8 76996
2 9 60830
1 3 97137
3 4 85395
7 10 29513
1 10 1622
7 9 97238
3 6 78497
6 10 71476
4 9 81850
2 3 69406
2 6 6803
3 10 79287
3 5 23698
9 10 16077
6 9 68106
4 8 66507
10 33
1 10 43407
7 9 46100
3 10 18083
5 8 28758
5 6 7379
2 8 95499
3 9 34684
7 10 4784
6 7 5235
4 7 0
4 9 45417
2 10 98365
8 10 9657
2 7 42898
1 3 43274
8 9 55335
6 9 6361
1 8 45509
4 10 73931
1 6 37049
2 5 5810
4 5 42821
3 8 35069
1 5 33112
2 3 11671
9 10 1930
7 8 67220
3 6 72996
3 4 14631
5 7 33728
5 9 4536
6 8 78089
6 10 57026
10 42
6 10 34641
5 9 89372
1 5 40354
2 10 61849
3 10 11687
5 6 22288
6 7 5863
4 6 53830
1 4 5931
1 10 41381
1 9 15802
7 8 48172
2 3 85665
7 9 20068
4 5 15424
1 8 88197
2 4 67842
5 7 71333
6 8 16170
2 6 67915
3 9 2033
3 5 32024
8 9 54002
4 10 10564
5 8 88238
1 6 73406
2 7 13946
4 7 16247
3 6 45265
3 7 16673
5 10 96734
8 10 87122
2 9 37702
2 8 95488
3 8 52914
2 5 43642
7 10 83544
1 3 94991
6 9 25167
1 7 0
1 2 415
4 9 20496
10 37
1 7 0
4 5 3013
3 4 13409
7 9 74711
7 8 28158
6 7 29784
5 6 51188
2 6 31982
6 9 94459
6 8 59007
2 4 34059
2 7 21630
2 9 18753
3 8 77568
4 8 53841
1 3 55931
2 5 61371
4 10 86323
1 6 19395
5 9 37548
1 5 65771
3 5 84682
9 10 41360
5 8 45052
5 7 53460
8 9 77957
1 9 40605
8 10 79214
1 2 63693
1 4 76842
5 10 16824
3 9 70462
1 10 9528
1 8 48292
2 8 49565
4 6 15266
2 10 87777
10 42
2 3 69855
6 10 32081
3 8 22664
3 4 53910
6 9 11776
2 8 47215
1 9 68548
1 5 44919
1 7 61173
5 6 20791
8 9 0
7 8 69196
5 7 64640
3 7 734
2 9 31835
1 10 10262
2 6 20699
4 5 28874
6 8 25381
3 9 7101
1 6 69275
9 10 79544
3 5 5735
7 10 62914
3 10 78077
2 10 3528
1 2 97003
5 8 99607
1 3 19836
4 8 33177
7 9 46977
1 4 40484
1 8 60772
4 6 24820
2 4 77090
8 10 51668
4 10 55468
5 9 17076
4 7 4255
6 7 37277
4 9 74808
2 7 77690
10 27
4 5 43983
5 10 50118
5 7 4668
1 5 90526
6 7 28748
5 9 17113
8 10 96680
2 4 22508
4 9 99118
1 2 43059
3 7 25981
2 3 40808
3 5 60444
4 7 38085
6 10 88859
7 8 42446
2 5 97317
2 10 30207
4 6 61413
2 9 0
3 9 640
4 10 77052
8 9 24778
3 4 57287
7 10 83023
7 9 66611
1 3 34130
10 20
1 8 19013
4 8 1927
3 7 82362
2 3 51841
5 8 3102
6 10 55504
1 5 55694
8 10 0
4 7 53734
4 9 77500
6 7 72742
4 6 34403
1 9 57235
6 8 87713
1 7 51744
3 5 66806
5 9 88375
6 9 18844
3 4 20405
8 9 72274
10 26
5 6 13897
4 7 19837
3 8 52431
8 9 92804
1 6 86690
7 8 42779
2 6 0
2 9 52670
3 9 64810
4 5 64824
5 7 83551
3 4 37420
2 5 85428
3 6 4525
3 5 76624
4 9 33122
5 8 16849
2 10 58038
6 7 80512
5 10 2781
4 6 37664
3 10 61017
2 4 759
6 9 20796
6 8 63108
7 10 53452
10 11
1 2 90450
6 9 24104
7 10 0
3 5 50808
4 8 16228
3 10 16528
2 4 88221
1 9 63889
6 7 31687
1 6 34626
1 3 30034
10 31
4 8 44162
4 6 47604
3 4 93882
7 10 52701
1 4 11708
8 9 57868
4 7 85908
6 8 9882
3 7 52631
2 4 57126
3 6 13102
1 10 78486
7 8 70087
2 6 9590
2 3 69637
9 10 12773
1 6 84061
5 7 55022
3 10 90695
5 8 93613
3 9 5509
1 3 68297
3 5 84326
4 10 44265
6 7 61391
5 6 0
4 9 84077
2 8 11183
1 7 20371
1 2 80486
1 5 93010
10 27
7 8 69576
3 6 44338
7 10 6219
4 9 77057
6 9 77291
1 10 64767
2 3 53099
5 9 28032
7 9 37946
4 6 25580
2 4 7912
3 8 14560
2 10 90420
1 7 82764
3 10 20141
4 10 1272
2 7 52573
5 7 88990
6 10 96169
5 8 80885
2 5 61313
1 8 99603
1 6 29951
2 6 72166
2 9 67221
3 9 0
3 7 3933
10 13
6 9 92392
1 4 65689
1 10 50162
2 7 89939
1 7 95713
5 10 40620
9 10 0
4 6 15383
4 10 47173
4 9 15575
2 6 96568
3 7 43245
3 8 34792
10 21
1 2 40521
1 7 9435
6 8 52676
4 8 96112
3 8 0
5 6 29640
4 6 52683
7 9 90951
2 10 53104
1 4 91130
5 8 89048
5 7 28636
1 10 98438
5 9 87340
2 8 92368
4 7 38468
3 6 61235
9 10 96638
1 8 31304
2 7 14975
6 9 49729
10 29
3 4 66836
1 3 63437
6 10 70273
1 8 15830
1 9 82351
4 7 73686
2 7 32995
4 5 54777
5 10 66001
4 9 53117
5 7 97363
4 8 92103
6 7 13716
9 10 64585
1 6 14115
1 10 61607
4 6 83920
7 9 4283
5 9 0
